"Geographic Location","Total","Under 15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 and over","Not Stated"
"....Bohol",7046,0,76,1567,2733,1509,587,263,106,72,44,40,29,10,10,0
"....Cebu",21627,0,140,3858,8354,5206,2054,787,380,272,205,173,116,50,32,0
"....Negros Oriental",7711,0,201,2251,2740,1438,534,217,112,73,51,40,30,9,13,2
"....Siquijor",392,0,1,64,140,100,31,22,6,7,7,2,6,4,2,0
"..Eastern Visayas",16085,0,131,2598,5593,3744,1859,887,498,300,190,125,85,48,27,0
"....Eastern Samar",1806,0,8,231,634,405,239,129,70,40,22,14,7,4,3,0
"....Leyte",7549,0,67,1309,2666,1792,831,343,206,115,81,60,35,31,13,0
"....Northern Samar",1766,0,23,320,580,413,190,110,63,28,14,10,9,2,4,0
"....Samar",2468,0,22,425,804,499,294,158,108,71,40,28,13,4,2,0
"....Southern Leyte",1621,0,5,201,605,415,201,95,30,20,23,4,12,5,5,0
"....Biliran",875,0,6,112,304,220,104,52,21,26,10,9,9,2,0,0
"..Zamboanga Peninsula",13574,0,260,3073,4907,2856,1196,534,283,169,122,79,45,32,18,0
"....Zamboanga Del Norte",3682,0,67,878,1356,760,298,121,81,32,39,20,13,13,4,0
"....Zamboanga Del Sur",7040,0,137,1479,2519,1533,655,304,144,99,71,47,30,14,8,0
"....Zamboanga Sibugay",2712,0,55,690,977,532,230,105,52,36,11,12,1,5,6,0
"....City Of Isabela",140,0,1,26,55,31,13,4,6,2,1,0,1,0,0,0
"..Northern Mindanao",21184,1,410,5091,7971,4272,1712,663,370,248,160,125,81,52,27,1
"....Bukidnon",8096,0,268,2444,2942,1400,506,232,106,84,43,32,19,10,10,0
"....Camiguin",402,0,1,62,143,99,41,18,20,4,8,3,2,0,1,0
"....Lanao Del Norte",3127,1,42,689,1210,669,259,99,55,30,28,19,15,7,4,0
"....Misamis Occidental",2473,0,32,563,949,499,224,74,38,29,18,16,17,7,7,0
"....Misamis Oriental",7086,0,67,1333,2727,1605,682,240,151,101,63,55,28,28,5,1
"..Davao Region",21865,0,293,4254,8086,5037,2164,874,442,240,189,123,82,38,43,0
"....Davao Del Norte",5151,0,52,1069,2020,1148,478,166,81,44,39,23,14,6,11,0
"....Davao Del Sur",10017,0,110,1739,3721,2406,1045,411,208,118,99,67,51,22,20,0
"....Davao Oriental",2081,0,52,442,735,470,186,92,39,26,17,11,5,2,4,0
"....Compostela Valley",3311,0,36,713,1202,730,326,153,74,34,23,10,6,2,2,0
"....Davao Occidental",1305,0,43,291,408,283,129,52,40,18,11,12,6,6,6,0
"..Soccsksargen",18196,1,335,4211,6762,3889,1578,672,296,168,118,97,36,18,15,0
"....Cotabato",5407,0,75,1308,2026,1111,456,204,83,53,43,27,8,7,6,0
"....South Cotabato",7213,0,79,1477,2785,1636,670,272,124,64,41,37,16,9,3,0
"....Sultan Kudarat",2963,1,98,746,1026,608,269,104,43,26,19,16,4,2,1,0
"....Sarangani",2107,0,70,579,727,420,146,77,37,16,13,12,6,0,4,0
"....City Of Cotabato",506,0,13,101,198,114,37,15,9,9,2,5,2,0,1,0
"..Caraga",11508,0,156,2299,4204,2504,1140,479,261,176,114,70,60,27,17,1
"....Agusan Del Norte",3080,0,38,564,1077,692,340,138,92,48,38,23,16,8,5,1
"....Agusan Del Sur",3326,0,60,724,1231,657,294,144,76,55,37,20,15,11,2,0
"....Surigao Del Norte",2222,0,29,435,864,488,205,81,38,26,22,12,11,3,8,0
"....Surigao Del Sur",2539,0,25,497,917,593,268,103,44,43,12,14,17,4,2,0
"....Dinagat Islands",341,0,4,79,115,74,33,13,11,4,5,1,1,1,0,0
"..ARMM",2177,5,129,612,685,365,198,81,43,31,11,7,4,2,4,0
"....Basilan",171,0,8,47,56,27,9,12,6,5,0,0,0,1,0,0
"....Lanao Del Sur",389,2,10,122,133,64,34,14,4,0,2,3,0,0,1,0
"....Maguindanao",1244,2,104,375,371,190,109,42,19,19,6,2,2,1,2,0
"....Sulu",225,1,6,43,76,47,28,9,6,4,1,2,1,0,1,0
"....Tawi-Tawi",148,0,1,25,49,37,18,4,8,3,2,0,1,0,0,0
