"Geographic Location","Total","Under 15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75 and over","Not Stated"
"....Cebu",21627,0,776,6115,8642,3856,1296,443,220,146,68,38,12,12,3,0
"....Negros Oriental",7711,0,1024,2971,2236,891,310,137,77,28,13,15,5,2,1,1
"....Siquijor",392,0,12,121,140,75,23,7,7,2,2,3,0,0,0,0
"..Eastern Visayas",16085,0,670,4516,5741,2739,1177,532,308,189,99,58,36,13,7,0
"....Eastern Samar",1806,0,52,471,665,293,150,72,46,33,10,8,4,1,1,0
"....Leyte",7549,0,385,2203,2723,1270,504,186,111,72,41,25,19,9,1,0
"....Northern Samar",1766,0,69,492,616,302,128,77,37,21,10,7,2,1,4,0
"....Samar",2468,0,99,725,776,405,199,115,69,37,25,14,3,1,0,0
"....Southern Leyte",1621,0,38,386,654,307,134,48,22,14,8,3,6,0,1,0
"....Biliran",875,0,27,239,307,162,62,34,23,12,5,1,2,1,0,0
"..Zamboanga Peninsula",13574,9,1272,4696,4316,1833,765,315,175,99,48,29,10,3,4,0
"....Zamboanga Del Norte",3682,3,347,1368,1131,466,199,77,40,28,8,9,3,2,1,0
"....Zamboanga Del Sur",7040,5,596,2206,2372,1044,432,179,103,47,33,15,5,1,2,0
"....Zamboanga Sibugay",2712,1,319,1084,757,301,126,54,32,24,6,5,2,0,1,0
"....City Of Isabela",140,0,10,38,56,22,8,5,0,0,1,0,0,0,0,0
"..Northern Mindanao",21184,8,1986,7588,6849,2785,992,402,252,149,79,53,26,7,6,2
"....Bukidnon",8096,6,1248,3339,2178,730,294,120,94,39,24,16,5,1,2,0
"....Camiguin",402,0,8,108,163,67,19,19,5,8,3,1,0,1,0,0
"....Lanao Del Norte",3127,2,229,1050,1093,456,154,53,42,23,10,5,8,1,1,0
"....Misamis Occidental",2473,0,163,878,827,366,111,56,22,22,10,10,3,3,2,0
"....Misamis Oriental",7086,0,338,2213,2588,1166,414,154,89,57,32,21,10,1,1,2
"..Davao Region",21865,5,1543,7137,7539,3403,1215,491,235,132,81,50,18,7,9,0
"....Davao Del Norte",5151,1,353,1724,1854,777,244,95,34,29,16,13,6,1,4,0
"....Davao Del Sur",10017,1,569,2855,3712,1752,643,233,117,61,42,22,5,4,1,0
"....Davao Oriental",2081,2,201,826,605,265,81,46,32,11,6,3,3,0,0,0
"....Compostela Valley",3311,0,275,1256,1011,449,177,74,33,17,11,6,2,0,0,0
"....Davao Occidental",1305,1,145,476,357,160,70,43,19,14,6,6,2,2,4,0
"..Soccsksargen",18196,12,1681,6546,5722,2596,883,355,195,103,45,33,14,6,4,1
"....Cotabato",5407,1,521,2043,1649,698,254,106,62,27,24,13,3,3,2,1
"....South Cotabato",7213,1,463,2437,2526,1128,361,142,81,47,10,10,6,1,0,0
